Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
20,3.5,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.339166667
20,3.5,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.3105
20,3.5,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.27133
15,3,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,8.56808
25,3,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,5.76642
15,4,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,8.48454
25,4,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,5.68019
15,3.5,15,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,11.325
25,3.5,15,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,7.3235
15,3.5,25,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,5.39618
25,3.5,25,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,4.19545
20,3,15,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,8.5579
20,4,15,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,8.6725
20,3,25,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,4.60343
20,4,25,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,4.59332
20,3.5,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,6.80708
20,3.5,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,6.81213
20,3.5,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,6.7759
20,3.5,20,40.63,2,8,16.3869,2.95,380.174,380.446,10.598,20.1422,0,-9.2571,-1.47446,9.33968,0.135317,-7.01019,26.4021,14.5267,17,19444,9,26.0357,0.888889,675.597,365.653,313.396,74,73,6.77338
15,3,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,10.58145
25,3,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,7.54281
15,4,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,10.45113
25,4,20,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,7.48136
15,3.5,15,26.19,1,4,8.2226,2.52,253.087,253.73,6.8067,10.3333,0,-4.75642,-1.14038,5.36466,-9.60E-03,-3.57842,14.8652,8.65212,11,4174,6,15.0588,0.833333,481.525,248.954,208.901,47,46,14.19167
